,name,expected,real
0,1.jpg,0,0
1,10.jpg,0,0
2,11.jpg,1,1
3,12.jpg,1,0
4,13.jpg,0,0
5,14.jpg,0,0
6,15.jpg,1,1
7,16.jpg,0,0
8,17.jpg,0,0
9,18.jpg,0,0
10,19.jpg,1,1
11,2.jpg,0,0
12,20.jpg,1,0
13,21.jpg,1,1
14,22.jpg,1,1
15,3.jpg,1,1
16,4.jpg,0,0
17,5.jpg,1,1
18,6.jpg,0,0
19,7.jpg,0,0
20,8.jpg,0,0
21,9.jpg,1,0
